t,kinetic_energy,classical_energy,magnetic_energy
0,8.489789698727364e-15 dyne/cm**2,4.8712320298645816e+47 cm**2*g/s**2,2.8872862022728725e-08 dyne/cm**2
1,1.0810577708507735e-15 dyne/cm**2,6.202843057569055e+46 cm**2*g/s**2,2.8873014142189258e-08 dyne/cm**2
2,1.0768906198966144e-15 dyne/cm**2,6.178932941955663e+46 cm**2*g/s**2,2.8873490058867424e-08 dyne/cm**2
3,1.2062175018253833e-15 dyne/cm**2,6.920978671173495e+46 cm**2*g/s**2,2.887364391642132e-08 dyne/cm**2
4,1.2850068544407242e-15 dyne/cm**2,7.373052613590186e+46 cm**2*g/s**2,2.8873132841405345e-08 dyne/cm**2
5,1.3349441326738322e-15 dyne/cm**2,7.659580363728399e+46 cm**2*g/s**2,2.8872212115525348e-08 dyne/cm**2
6,1.2774461822356959e-15 dyne/cm**2,7.329671257624435e+46 cm**2*g/s**2,2.8871427348302073e-08 dyne/cm**2
7,1.2251856256394815e-15 dyne/cm**2,7.029813107361866e+46 cm**2*g/s**2,2.8871160642878706e-08 dyne/cm**2
8,1.2268171875495501e-15 dyne/cm**2,7.039174663517591e+46 cm**2*g/s**2,2.8871469037126667e-08 dyne/cm**2
9,1.3040231981655614e-15 dyne/cm**2,7.482163668858741e+46 cm**2*g/s**2,2.8872247008922137e-08 dyne/cm**2
10,1.3082050004026128e-15 dyne/cm**2,7.50615776874753e+46 cm**2*g/s**2,2.887313328617034e-08 dyne/cm**2
11,1.2465491957813605e-15 dyne/cm**2,7.152392081625305e+46 cm**2*g/s**2,2.887366552810285e-08 dyne/cm**2
12,1.2435494619522254e-15 dyne/cm**2,7.13518036615646e+46 cm**2*g/s**2,2.8873570993276395e-08 dyne/cm**2
13,1.2940088826866688e-15 dyne/cm**2,7.424704001731581e+46 cm**2*g/s**2,2.8872980077465888e-08 dyne/cm**2
14,1.303553026542228e-15 dyne/cm**2,7.479466026691021e+46 cm**2*g/s**2,2.887229763786278e-08 dyne/cm**2
15,1.2613517107058467e-15 dyne/cm**2,7.237325165290002e+46 cm**2*g/s**2,2.887190040145138e-08 dyne/cm**2
16,1.2263426498377885e-15 dyne/cm**2,7.036451866500298e+46 cm**2*g/s**2,2.8871937709752126e-08 dyne/cm**2
17,1.239300568381377e-15 dyne/cm**2,7.110801187092818e+46 cm**2*g/s**2,2.8872321095475666e-08 dyne/cm**2
18,1.2670466629312884e-15 dyne/cm**2,7.2700014409223e+46 cm**2*g/s**2,2.887283911479471e-08 dyne/cm**2
19,1.2628941144996775e-15 dyne/cm**2,7.246175158754878e+46 cm**2*g/s**2,2.8873232996160477e-08 dyne/cm**2
20,1.2352458772081217e-15 dyne/cm**2,7.087536407328428e+46 cm**2*g/s**2,2.887330971470605e-08 dyne/cm**2
21,1.242592719813067e-15 dyne/cm**2,7.129690755567642e+46 cm**2*g/s**2,2.8873059337321566e-08 dyne/cm**2
22,1.2787720230482095e-15 dyne/cm**2,7.337278678469182e+46 cm**2*g/s**2,2.8872642537485615e-08 dyne/cm**2
23,1.3068877307566176e-15 dyne/cm**2,7.498599668217219e+46 cm**2*g/s**2,2.8872274374871772e-08 dyne/cm**2
24,1.310931822739628e-15 dyne/cm**2,7.521803692505848e+46 cm**2*g/s**2,2.8872121905197794e-08 dyne/cm**2
25,1.325669925223571e-15 dyne/cm**2,7.606367275833555e+46 cm**2*g/s**2,2.8872234943734203e-08 dyne/cm**2
26,1.3798845173125947e-15 dyne/cm**2,7.917437224669432e+46 cm**2*g/s**2,2.8872525769616946e-08 dyne/cm**2
27,1.4444911765868763e-15 dyne/cm**2,8.288134318992579e+46 cm**2*g/s**2,2.887283944467473e-08 dyne/cm**2
28,1.518286497828612e-15 dyne/cm**2,8.71155366489806e+46 cm**2*g/s**2,2.8873039765836666e-08 dyne/cm**2
29,1.6275196563579697e-15 dyne/cm**2,9.33830659457425e+46 cm**2*g/s**2,2.8873052970435344e-08 dyne/cm**2
30,1.792224622665052e-15 dyne/cm**2,1.0283343101101516e+47 cm**2*g/s**2,2.887288625196373e-08 dyne/cm**2
31,1.983797817287686e-15 dyne/cm**2,1.1382542866935398e+47 cm**2*g/s**2,2.887262590852698e-08 dyne/cm**2
32,2.259782984849476e-15 dyne/cm**2,1.296607772124286e+47 cm**2*g/s**2,2.8872407386198266e-08 dyne/cm**2
33,2.653026309232952e-15 dyne/cm**2,1.5222411006246338e+47 cm**2*g/s**2,2.887232535169776e-08 dyne/cm**2
34,3.1493140321993974e-15 dyne/cm**2,1.8069987467186059e+47 cm**2*g/s**2,2.8872396001017375e-08 dyne/cm**2
35,3.826860549471362e-15 dyne/cm**2,2.1957582214300115e+47 cm**2*g/s**2,2.887257487219088e-08 dyne/cm**2
36,4.813465175891354e-15 dyne/cm**2,2.7618476328898387e+47 cm**2*g/s**2,2.8872799643063763e-08 dyne/cm**2
37,6.158847380114148e-15 dyne/cm**2,3.5337947783454845e+47 cm**2*g/s**2,2.887296643418767e-08 dyne/cm**2
38,7.903887541704255e-15 dyne/cm**2,4.535055797954655e+47 cm**2*g/s**2,2.8872962766210514e-08 dyne/cm**2
39,1.0267387563490282e-14 dyne/cm**2,5.891173837086567e+47 cm**2*g/s**2,2.8872808636494367e-08 dyne/cm**2
40,1.358473861533799e-14 dyne/cm**2,7.79458807214493e+47 cm**2*g/s**2,2.8872630034335524e-08 dyne/cm**2
41,1.8121440924011028e-14 dyne/cm**2,1.039763597712269e+48 cm**2*g/s**2,2.8872498232594548e-08 dyne/cm**2
42,2.4214507870438934e-14 dyne/cm**2,1.3893687534185476e+48 cm**2*g/s**2,2.8872413432505857e-08 dyne/cm**2
43,3.253722971794893e-14 dyne/cm**2,1.866906009471423e+48 cm**2*g/s**2,2.887237521395488e-08 dyne/cm**2
44,4.3977154791330835e-14 dyne/cm**2,2.523300699953443e+48 cm**2*g/s**2,2.8872458188107964e-08 dyne/cm**2
45,5.96109755616978e-14 dyne/cm**2,3.420330784443585e+48 cm**2*g/s**2,2.8872704800963935e-08 dyne/cm**2
46,8.086986380882145e-14 dyne/cm**2,4.6401133688294995e+48 cm**2*g/s**2,2.887293274028908e-08 dyne/cm**2
47,1.0987145085868304e-13 dyne/cm**2,6.30415291810751e+48 cm**2*g/s**2,2.8872887118462114e-08 dyne/cm**2
48,1.4956557304130395e-13 dyne/cm**2,8.581703763003288e+48 cm**2*g/s**2,2.887252679856989e-08 dyne/cm**2
49,2.0381900790451046e-13 dyne/cm**2,1.1694632066123107e+49 cm**2*g/s**2,2.88720660604859e-08 dyne/cm**2
50,2.778807428500212e-13 dyne/cm**2,1.5944111778511222e+49 cm**2*g/s**2,2.8871776364785545e-08 dyne/cm**2
51,3.789921611980511e-13 dyne/cm**2,2.1745635611569826e+49 cm**2*g/s**2,2.8871769988084425e-08 dyne/cm**2
52,5.170163135871936e-13 dyne/cm**2,2.966512109574373e+49 cm**2*g/s**2,2.8871886316836948e-08 dyne/cm**2
53,7.052104019528547e-13 dyne/cm**2,4.046323379645464e+49 cm**2*g/s**2,2.8871779642233193e-08 dyne/cm**2
54,9.619341129135128e-13 dyne/cm**2,5.519340720804448e+49 cm**2*g/s**2,2.8871210726591488e-08 dyne/cm**2
55,1.3113606692821297e-12 dyne/cm**2,7.524264127416103e+49 cm**2*g/s**2,2.8870237784405223e-08 dyne/cm**2
56,1.786347188204772e-12 dyne/cm**2,1.024961964177762e+50 cm**2*g/s**2,2.8869104537462167e-08 dyne/cm**2
57,2.431594095449911e-12 dyne/cm**2,1.3951887287347281e+50 cm**2*g/s**2,2.8867966700613704e-08 dyne/cm**2
58,3.306797104753386e-12 dyne/cm**2,1.8973586340472685e+50 cm**2*g/s**2,2.8866678481272953e-08 dyne/cm**2
59,4.491766005502288e-12 dyne/cm**2,2.5772645672730112e+50 cm**2*g/s**2,2.8864807638998147e-08 dyne/cm**2
60,6.093028717623534e-12 dyne/cm**2,3.4960296217925277e+50 cm**2*g/s**2,2.886187351313773e-08 dyne/cm**2
61,8.253540939104724e-12 dyne/cm**2,4.735678253824659e+50 cm**2*g/s**2,2.8857572831247557e-08 dyne/cm**2
62,1.115912412016678e-11 dyne/cm**2,6.4028302309553886e+50 cm**2*g/s**2,2.885179932123842e-08 dyne/cm**2
63,1.5058870385458257e-11 dyne/cm**2,8.640408476299855e+50 cm**2*g/s**2,2.884442873309427e-08 dyne/cm**2
64,2.0275795169086014e-11 dyne/cm**2,1.1633751285090855e+51 cm**2*g/s**2,2.8835057169370615e-08 dyne/cm**2
65,2.7234864944073197e-11 dyne/cm**2,1.562669394048242e+51 cm**2*g/s**2,2.882283130972929e-08 dyne/cm**2
66,3.647626141282152e-11 dyne/cm**2,2.092917937877687e+51 cm**2*g/s**2,2.880649572321658e-08 dyne/cm**2
67,4.8699196053913065e-11 dyne/cm**2,2.7942397890500377e+51 cm**2*g/s**2,2.8784539666512374e-08 dyne/cm**2
68,6.479956853450263e-11 dyne/cm**2,3.718039459425399e+51 cm**2*g/s**2,2.8755333644581944e-08 dyne/cm**2
69,8.587973305817709e-11 dyne/cm**2,4.9275673175267777e+51 cm**2*g/s**2,2.8717141449859046e-08 dyne/cm**2
70,1.1329961508683633e-10 dyne/cm**2,6.50085253996431e+51 cm**2*g/s**2,2.8667888430567963e-08 dyne/cm**2
71,1.4872100603053465e-10 dyne/cm**2,8.533244626050004e+51 cm**2*g/s**2,2.8604838907320886e-08 dyne/cm**2
72,1.9409206147699987e-10 dyne/cm**2,1.1136523944044489e+52 cm**2*g/s**2,2.8524474313937535e-08 dyne/cm**2
73,2.5162984519102916e-10 dyne/cm**2,1.4437900153886218e+52 cm**2*g/s**2,2.8422594304982847e-08 dyne/cm**2
74,3.2377469865365737e-10 dyne/cm**2,1.857739403764197e+52 cm**2*g/s**2,2.829448716688118e-08 dyne/cm**2
75,4.13057126809127e-10 dyne/cm**2,2.3700199741013183e+52 cm**2*g/s**2,2.813512130244137e-08 dyne/cm**2
76,5.218150102604949e-10 dyne/cm**2,2.994045911910868e+52 cm**2*g/s**2,2.7939596254875527e-08 dyne/cm**2
77,6.520007366980464e-10 dyne/cm**2,3.741019539039222e+52 cm**2*g/s**2,2.770332144513252e-08 dyne/cm**2
78,8.047263166428729e-10 dyne/cm**2,4.617321297862504e+52 cm**2*g/s**2,2.7422240707376007e-08 dyne/cm**2
79,9.798114741890003e-10 dyne/cm**2,5.621916810293949e+52 cm**2*g/s**2,2.7093676083519477e-08 dyne/cm**2
80,1.1752111083930886e-09 dyne/cm**2,6.743071791345577e+52 cm**2*g/s**2,2.6715920162649096e-08 dyne/cm**2
81,1.3865018358125622e-09 dyne/cm**2,7.955405960528279e+52 cm**2*g/s**2,2.629010968771458e-08 dyne/cm**2
82,1.6070408945080116e-09 dyne/cm**2,9.220804785358263e+52 cm**2*g/s**2,2.582040204702793e-08 dyne/cm**2
83,1.8289211881151636e-09 dyne/cm**2,1.0493899290675978e+53 cm**2*g/s**2,2.531282927820989e-08 dyne/cm**2
84,2.0399473119704257e-09 dyne/cm**2,1.1704715253559204e+53 cm**2*g/s**2,2.4774996619020605e-08 dyne/cm**2
85,2.230201732076062e-09 dyne/cm**2,1.279634830193038e+53 cm**2*g/s**2,2.4212933152763022e-08 dyne/cm**2
86,2.388184111227892e-09 dyne/cm**2,1.3702812344937688e+53 cm**2*g/s**2,2.3635715104958095e-08 dyne/cm**2
87,2.49553098081713e-09 dyne/cm**2,1.4318742342053351e+53 cm**2*g/s**2,2.3053395616598023e-08 dyne/cm**2
88,2.5340354578537605e-09 dyne/cm**2,1.4539671634321283e+53 cm**2*g/s**2,2.2485900465851516e-08 dyne/cm**2
89,2.515881073299279e-09 dyne/cm**2,1.4435506361635567e+53 cm**2*g/s**2,2.1938719610841296e-08 dyne/cm**2
90,2.4295131758005805e-09 dyne/cm**2,1.3939948744496072e+53 cm**2*g/s**2,2.143495409886859e-08 dyne/cm**2
91,2.2718881051040203e-09 dyne/cm**2,1.3035535052537273e+53 cm**2*g/s**2,2.0993581075701298e-08 dyne/cm**2
92,2.057019006471137e-09 dyne/cm**2,1.1802669182963132e+53 cm**2*g/s**2,2.061684674060165e-08 dyne/cm**2
93,1.8032448517938522e-09 dyne/cm**2,1.034657563641292e+53 cm**2*g/s**2,2.031370839397439e-08 dyne/cm**2
94,1.5388871056196973e-09 dyne/cm**2,8.82975592478438e+52 cm**2*g/s**2,2.0068224776509702e-08 dyne/cm**2
95,1.2912279568850493e-09 dyne/cm**2,7.408748583305197e+52 cm**2*g/s**2,1.9871324468503674e-08 dyne/cm**2
96,1.0774800629711856e-09 dyne/cm**2,6.182315621377063e+52 cm**2*g/s**2,1.972017393348838e-08 dyne/cm**2
97,9.083595660901926e-10 dyne/cm**2,5.211943683579937e+52 cm**2*g/s**2,1.9607375828143727e-08 dyne/cm**2
98,7.851980029161173e-10 dyne/cm**2,4.505272848964327e+52 cm**2*g/s**2,1.951928394307661e-08 dyne/cm**2
99,7.03274214095885e-10 dyne/cm**2,4.035214277360678e+52 cm**2*g/s**2,1.94757761486572e-08 dyne/cm**2
100,6.537625177028358e-10 dyne/cm**2,3.751128384709572e+52 cm**2*g/s**2,1.9476860267619135e-08 dyne/cm**2
101,6.265234705817144e-10 dyne/cm**2,3.5948374658065967e+52 cm**2*g/s**2,1.9540447800611626e-08 dyne/cm**2
102,6.15866496323957e-10 dyne/cm**2,3.533690374631051e+52 cm**2*g/s**2,1.9672750947514954e-08 dyne/cm**2
103,6.137301579021987e-10 dyne/cm**2,3.5214325334060575e+52 cm**2*g/s**2,1.9890506205175663e-08 dyne/cm**2
104,6.088257437506341e-10 dyne/cm**2,3.493292186964606e+52 cm**2*g/s**2,2.0176469434148906e-08 dyne/cm**2
105,6.052460135555966e-10 dyne/cm**2,3.472752583243781e+52 cm**2*g/s**2,2.0517483577990176e-08 dyne/cm**2
106,5.987529581109057e-10 dyne/cm**2,3.4354970024148585e+52 cm**2*g/s**2,2.0963606074631585e-08 dyne/cm**2
107,5.964155806636245e-10 dyne/cm**2,3.4220857086661065e+52 cm**2*g/s**2,2.1514000993272233e-08 dyne/cm**2
108,5.847841530222212e-10 dyne/cm**2,3.355347433429953e+52 cm**2*g/s**2,2.2153900686929025e-08 dyne/cm**2
109,5.80191957241331e-10 dyne/cm**2,3.3289985278181047e+52 cm**2*g/s**2,2.2857101597721634e-08 dyne/cm**2
110,5.875396076930534e-10 dyne/cm**2,3.371157575048529e+52 cm**2*g/s**2,2.3679674493581014e-08 dyne/cm**2
111,5.959857666166009e-10 dyne/cm**2,3.4196195469050395e+52 cm**2*g/s**2,2.468485288663564e-08 dyne/cm**2
