t,KE,PE_grav,PE_mag,PE_cr,PE_thermo,total
0,4.8712320298645816e+47,-1.7035182883032084e+54,1.6566536550912143e+54,1.8637354251387853e+54,1.6773618325764896e+54,3.494233111626484e+54
1,6.202843057569055e+46,-1.7035129015779098e+54,1.656662383330244e+54,1.8637366474558312e+54,1.677363487099721e+54,3.494249678336317e+54
2,6.178932941955663e+46,-1.7034749603594663e+54,1.6566896902581383e+54,1.8637452113680597e+54,1.677374618879051e+54,3.494334621935112e+54
3,6.920978671173496e+46,-1.7034693322743114e+54,1.6566985182238342e+54,1.863746559531265e+54,1.677376385490073e+54,3.4943522001806476e+54
4,7.373052613590186e+46,-1.7035269538419038e+54,1.656669194000053e+54,1.8637337963325433e+54,1.677359804199781e+54,3.494235914421e+54
5,7.659580363728399e+46,-1.7036228470272044e+54,1.656616365018762e+54,1.863712492120987e+54,1.6773321110620994e+54,3.494038197770448e+54
6,7.329671257624436e+46,-1.703705290483389e+54,1.656571337009425e+54,1.8636942602266737e+54,1.677308401527037e+54,3.4938687815764594e+54
7,7.029813107361866e+46,-1.70373861808173e+54,1.65655603410991e+54,1.8636871652873344e+54,1.6772991702876127e+54,3.493803821901258e+54
8,7.039174663517592e+46,-1.7037177327755246e+54,1.6565737290122986e+54,1.863692224538171e+54,1.6773057538234085e+54,3.4938540449901e+54
9,7.482163668858741e+46,-1.7036544826447248e+54,1.656618367115817e+54,1.863706697310045e+54,1.677324624321931e+54,3.4939952809247045e+54
10,7.506157768747529e+46,-1.7035793523697406e+54,1.6566692195197144e+54,1.863723755695852e+54,1.6773468533644258e+54,3.494160551271829e+54
11,7.152392081625306e+46,-1.703536049669286e+54,1.6566997582500507e+54,1.863733647027525e+54,1.6773597512245135e+54,3.494257178356724e+54
12,7.13518036615646e+46,-1.7035512298503015e+54,1.6566943340756332e+54,1.863730411925122e+54,1.677355569365764e+54,3.494229156868021e+54
13,7.424704001731582e+46,-1.703612787043522e+54,1.656660428782259e+54,1.8637167605998268e+54,1.6773378329224834e+54,3.494102309508087e+54
14,7.479466026691021e+46,-1.7036821189754437e+54,1.6566212720793166e+54,1.863701338375418e+54,1.6773177869390182e+54,3.49395835321297e+54
15,7.237325165290002e+46,-1.7037232242140598e+54,1.6565984796332976e+54,1.8636922160138876e+54,1.6773059279290405e+54,3.493873471735418e+54
16,7.036451866500298e+46,-1.703721922849928e+54,1.656600620291821e+54,1.8636925730739906e+54,1.6773063913694778e+54,3.49387773224988e+54
17,7.110801187092818e+46,-1.7036869475698406e+54,1.6566226180196517e+54,1.863700455014138e+54,1.6773166386988653e+54,3.4939528352708266e+54
18,7.270001440922302e+46,-1.7036387617504226e+54,1.6566523406915828e+54,1.863711285869549e+54,1.6773307207636306e+54,3.494055658274354e+54
19,7.24617515875488e+46,-1.7036023022965212e+54,1.6566749406337186e+54,1.8637194863712673e+54,1.677341382776582e+54,3.494133579946798e+54
20,7.08753640732843e+46,-1.70359614057134e+54,1.6566793425543046e+54,1.8637208958640773e+54,1.6773432129283034e+54,3.494147381650709e+54
21,7.129690755567642e+46,-1.703621419429277e+54,1.6566649765169177e+54,1.863715262980525e+54,1.6773358849152298e+54,3.494094776280303e+54
22,7.337278678469182e+46,-1.7036626316745144e+54,1.656641061570016e+54,1.863706062392592e+54,1.677323916388341e+54,3.4940084820492217e+54
23,7.498599668217219e+46,-1.7036991407933014e+54,1.6566199373065898e+54,1.863697916973153e+54,1.6773133161289194e+54,3.4939321046013576e+54
24,7.521803692505846e+46,-1.7037149438381938e+54,1.656611188972493e+54,1.863694407448759e+54,1.6773087467094088e+54,3.493899474510504e+54
25,7.606367275833555e+46,-1.7037051800149526e+54,1.6566176748456984e+54,1.8636966261518024e+54,1.6773116253185384e+54,3.4939208223647596e+54
26,7.91743722466943e+46,-1.7036782504440936e+54,1.656634361718362e+54,1.8637026868427733e+54,1.6773195028063694e+54,3.493978380097783e+54
27,8.288134318992578e+46,-1.703649126823858e+54,1.6566523596196983e+54,1.8637092399504025e+54,1.6773280182278145e+54,3.4940405738554e+54
28,8.711553664898061e+46,-1.703630911230058e+54,1.656663853554072e+54,1.8637133534760886e+54,1.6773333611499653e+54,3.4940797440656046e+54
29,9.33830659457425e+46,-1.703630683758543e+54,1.6566646112012916e+54,1.8637134410184846e+54,1.6773334700006934e+54,3.494080931844992e+54
30,1.0283343101101514e+47,-1.703647668697328e+54,1.656655045306213e+54,1.8637096759147846e+54,1.677328570097472e+54,3.4940457254545724e+54
31,1.1382542866935396e+47,-1.7036736254012522e+54,1.6566401074417985e+54,1.8637039015519433e+54,1.677321057130924e+54,3.493991554548842e+54
32,1.296607772124286e+47,-1.7036955943168768e+54,1.6566275691699536e+54,1.8636990257354758e+54,1.6773147139798474e+54,3.4939458442291776e+54
33,1.5222411006246336e+47,-1.7037043877473762e+54,1.6566228622326477e+54,1.8636971043688177e+54,1.6773122145410042e+54,3.4939279456192036e+54
34,1.8069987467186063e+47,-1.7036984339873086e+54,1.656626915916421e+54,1.863698488988676e+54,1.677314018435878e+54,3.493941170053541e+54
35,2.1957582214300115e+47,-1.7036820620038427e+54,1.656637179103612e+54,1.863702214159668e+54,1.6773188700359926e+54,3.493976420871252e+54
36,2.761847632889839e+47,-1.703661238151921e+54,1.6566500759024965e+54,1.8637069476078974e+54,1.677325039307438e+54,3.494021100850675e+54
37,3.533794778345484e+47,-1.7036458790773673e+54,1.6566596459661747e+54,1.8637104682616074e+54,1.677329637501628e+54,3.494054226031521e+54
38,4.535055797954655e+47,-1.7036467679994475e+54,1.656659435506762e+54,1.8637103709549823e+54,1.677329545446096e+54,3.494053037413972e+54
39,5.891173837086566e+47,-1.7036619626021587e+54,1.6566505919244098e+54,1.863707092157504e+54,1.677325335827076e+54,3.494021646424215e+54
40,7.79458807214493e+47,-1.7036793008875044e+54,1.6566403441731256e+54,1.863703365323395e+54,1.6773205586637617e+54,3.493985746731585e+54
41,1.0397635977122688e+48,-1.7036918474938455e+54,1.656632781714779e+54,1.8637007535613973e+54,1.6773172597857752e+54,3.4939599873317036e+54
42,1.3893687534185478e+48,-1.7036994762004207e+54,1.656627916095216e+54,1.8636993028959826e+54,1.677315513167554e+54,3.493944645327085e+54
43,1.8669060094714235e+48,-1.7037021127823005e+54,1.6566257232093464e+54,1.863699054007619e+54,1.677315387155826e+54,3.4939399184965005e+54
44,2.5233006999534425e+48,-1.7036923728879832e+54,1.656630484061851e+54,1.8637016896938234e+54,1.6773190924880657e+54,3.4939614166564574e+54
45,3.420330784443585e+48,-1.7036658853855245e+54,1.6566446341006463e+54,1.8637082221652067e+54,1.6773279612741524e+54,3.4940183524852654e+54
46,4.6401133688295e+48,-1.70363980970669e+54,1.6566577126987258e+54,1.8637148679922174e+54,1.677337119462439e+54,3.494074530560062e+54
47,6.30415291810751e+48,-1.703638107200601e+54,1.6566550950321965e+54,1.863716342796552e+54,1.6773397498629604e+54,3.494079384644026e+54
48,8.581703763003288e+48,-1.7036640349996693e+54,1.656634420765782e+54,1.8637120171735475e+54,1.6773351062951878e+54,3.494026090938611e+54
49,1.1694632066123107e+49,-1.703696058988964e+54,1.6566079847508677e+54,1.8637068555892635e+54,1.677329734372691e+54,3.493960210355924e+54
50,1.5944111778511222e+49,-1.703706808615923e+54,1.6565913627267976e+54,1.863707182223178e+54,1.6773319880773464e+54,3.493939668523178e+54
51,2.1745635611569823e+49,-1.7036837284225863e+54,1.656590996849687e+54,1.8637160728008606e+54,1.677346045620383e+54,3.493991132483956e+54
52,2.966512109574373e+49,-1.7036398332351915e+54,1.6565976715093482e+54,1.8637309726759232e+54,1.6773688356696222e+54,3.494087311740798e+54
53,4.0463233796454636e+49,-1.7036050368759803e+54,1.6565915507861218e+54,1.8637456758375055e+54,1.6773926320173838e+54,3.494165284998827e+54
54,5.519340720804446e+49,-1.7035977805407603e+54,1.656558907811414e+54,1.8637567321720498e+54,1.6774134185138083e+54,3.49418647136372e+54
55,7.524264127416104e+49,-1.7036064348313236e+54,1.656503082789353e+54,1.8637676410777474e+54,1.6774363472217174e+54,3.494175878898768e+54
56,1.0249619641777622e+50,-1.7035994144328625e+54,1.6564380598758625e+54,1.8637866707494786e+54,1.677472988217165e+54,3.494200800606061e+54
57,1.3951887287347281e+50,-1.703550688613113e+54,1.6563727736055396e+54,1.8638212727430088e+54,1.6775341256175717e+54,3.494317002225881e+54
58,1.8973586340472685e+50,-1.7034594183680347e+54,1.656298858759704e+54,1.8638738112374453e+54,1.6776243087300594e+54,3.494527296222579e+54
59,2.5772645672730112e+50,-1.7033472505936336e+54,1.656191514446485e+54,1.86394235741728e+54,1.677743039273204e+54,3.4947873870000624e+54
60,3.4960296217925285e+50,-1.7032337895615305e+54,1.6560231615422737e+54,1.8640264175294875e+54,1.677892364041575e+54,3.495057756513985e+54
61,4.735678253824659e+50,-1.7031123849927983e+54,1.6557763990213654e+54,1.8641327067990264e+54,1.678084624214554e+54,3.49535491286753e+54
62,6.4028302309553886e+50,-1.702946604625934e+54,1.6554451292526694e+54,1.8642762060653642e+54,1.6783440481959154e+54,3.4957590619111105e+54
63,8.640408476299855e+50,-1.7026860941441562e+54,1.6550222230761976e+54,1.864477263589364e+54,1.6787033650628514e+54,3.4963807984318864e+54
64,1.1633751285090855e+51,-1.7022889893522685e+54,1.6544845058512648e+54,1.864756958149464e+54,1.6791979552199172e+54,3.4973138049968864e+54
65,1.562669394048242e+51,-1.701730981165796e+54,1.653783016160001e+54,1.865136207566031e+54,1.6798657105899905e+54,3.498616622544274e+54
66,2.092917937877687e+51,-1.7009969587514783e+54,1.6528457204686845e+54,1.865638093316358e+54,1.6807504095862017e+54,3.500330182557643e+54
67,2.7942397890500377e+51,-1.700055999290811e+54,1.651585936050411e+54,1.866294957717044e+54,1.6819118734819032e+54,3.5025310077475973e+54
68,3.718039459425399e+51,-1.698837800593678e+54,1.649910166497265e+54,1.8671552501503698e+54,1.6834359737151043e+54,3.505381629228486e+54
69,4.927567317526777e+51,-1.6972277667785302e+54,1.6477187924890125e+54,1.868285085911852e+54,1.685436969577455e+54,3.509140648517316e+54
70,6.50085253996431e+51,-1.6950750489282227e+54,1.6448927756027697e+54,1.869768526685695e+54,1.6880594334330504e+54,3.5141465393332563e+54
71,8.533244626050003e+51,-1.6922081306799302e+54,1.6412751492837313e+54,1.8717061891424783e+54,1.691478513051988e+54,3.5207849654243174e+54
72,1.113652394404449e+52,-1.6884458604462424e+54,1.636664026866613e+54,1.8742128674185745e+54,1.695897253314721e+54,3.529464811097711e+54
73,1.4437900153886218e+52,-1.683585923468124e+54,1.630818402866451e+54,1.8774211282485358e+54,1.701550897651375e+54,3.5406424054521235e+54
74,1.857739403764197e+52,-1.677386982727967e+54,1.623467930743353e+54,1.881485612475072e+54,1.7087123588046697e+54,3.55485631333277e+54
75,2.3700199741013183e+52,-1.669563613020986e+54,1.614323909818302e+54,1.8865828118837115e+54,1.7176898090896848e+54,3.572733117511725e+54
76,2.994045911910868e+52,-1.6597929622293917e+54,1.60310516389967e+54,1.8929028661031904e+54,1.728811782895906e+54,3.594967309788483e+54
77,3.741019539039222e+52,-1.6477339994903255e+54,1.589548296824072e+54,1.900639746146e+54,1.7424077943616554e+54,3.622272033231794e+54
78,4.617321297862504e+52,-1.633064249175036e+54,1.5734205757500356e+54,1.9099762861066736e+54,1.7587830963380874e+54,3.655288921998386e+54
79,5.621916810293949e+52,-1.6155252518874077e+54,1.5545683460079507e+54,1.9210563337320274e+54,1.778173281492352e+54,3.694491877447862e+54
80,6.743071791345575e+52,-1.5949358176199838e+54,1.5328936405718778e+54,1.9339848935861876e+54,1.800749721560917e+54,3.740123156012455e+54
81,7.955405960528278e+52,-1.571232009284506e+54,1.5084616829544705e+54,1.948791224071552e+54,1.8265534631035805e+54,3.79212842045038e+54
82,9.220804785358263e+52,-1.544453900085645e+54,1.4815110138646938e+54,1.965411241207034e+54,1.8554250001023284e+54,3.850101402941994e+54
83,1.0493899290675978e+53,-1.5147622326425553e+54,1.4523877368341528e+54,1.9837209467785793e+54,1.887127882421653e+54,3.91341332629859e+54
84,1.1704715253559204e+53,-1.4823159882154978e+54,1.421528221767546e+54,2.0035693620913893e+54,1.9213728731370813e+54,3.981201621316111e+54
85,1.2796348301930375e+53,-1.4472697131639743e+54,1.3892784026606547e+54,2.0247513596757206e+54,1.9578745424345104e+54,4.052598074626215e+54
86,1.3702812344937688e+53,-1.4098828516431508e+54,1.3561590512511266e+54,2.0470058957521678e+54,1.996265626971797e+54,4.126575845781317e+54
87,1.431874234205335e+53,-1.3703740120901045e+54,1.3227469920791145e+54,2.0700608468093823e+54,2.0362756978108507e+54,4.201896948029776e+54
88,1.4539671634321285e+53,-1.3285269806855549e+54,1.2901855175968832e+54,2.0934260821968884e+54,2.077056044629494e+54,4.2775373800809234e+54
89,1.4435506361635567e+53,-1.2862780766285136e+54,1.2587896283077674e+54,2.1166737960773086e+54,2.1181059422808928e+54,4.351646353653811e+54
90,1.393994874449607e+53,-1.2440114664928599e+54,1.2298848057223165e+54,2.1391044557320456e+54,2.1580621652384518e+54,4.422439447644915e+54
91,1.3035535052537273e+53,-1.2026508907001521e+54,1.2045599119264366e+54,2.1597074151047422e+54,2.1951047754123364e+54,4.4870765622687355e+54
92,1.1802669182963132e+53,-1.1639302011393926e+54,1.1829438277469812e+54,2.1782189626744637e+54,2.229076879231926e+54,4.54433616034361e+54
93,1.034657563641292e+53,-1.127428179668304e+54,1.1655505007200914e+54,2.1944760458920717e+54,2.25963277427659e+54,4.5956968975845785e+54
94,8.82975592478438e+52,-1.0941640609836166e+54,1.1514652604763825e+54,2.2082799886629547e+54,2.2857649871390266e+54,4.639643734542591e+54
95,7.408748583305196e+52,-1.0660735428673373e+54,1.1401676104156941e+54,2.218885219996785e+54,2.3064500664132932e+54,4.673516839791487e+54
96,6.182315621377062e+52,-1.043754698968119e+54,1.1314949688937741e+54,2.2259253084824316e+54,2.3212727330787494e+54,4.696761467700607e+54
97,5.211943683579937e+52,-1.0270169199277654e+54,1.1250228940167446e+54,2.2299615400085158e+54,2.3310638355889623e+54,4.711150786522257e+54
98,4.505272848964327e+52,-1.015892209248356e+54,1.1199683996527713e+54,2.2316901427663303e+54,2.3367362260897885e+54,4.717555287750177e+54
99,4.0352142773606775e+52,-1.0103431469922033e+54,1.1174720292424607e+54,2.2309691818113282e+54,2.337763252341009e+54,4.7162134591762016e+54
100,3.751128384709572e+52,-1.010060663624076e+54,1.1175342335773535e+54,2.2281080972211854e+54,2.334740065012848e+54,4.707833016034407e+54
101,3.594837465806597e+52,-1.0137822837676776e+54,1.1211827289545858e+54,2.2238089631706222e+54,2.3288187219002744e+54,4.695976504915871e+54
102,3.53369037463105e+52,-1.0189128981964526e+54,1.1287739566340382e+54,2.219264999066002e+54,2.3217139517799408e+54,4.686176913029839e+54
103,3.5214325334060575e+52,-1.024010072329934e+54,1.1412682152164184e+54,2.2153252424899057e+54,2.3150087202725077e+54,4.682806430982958e+54
104,3.493292186964606e+52,-1.029617126451658e+54,1.1576760782190926e+54,2.2121787010721172e+54,2.30916114225184e+54,4.684331716961038e+54
105,3.472752583243781e+52,-1.036153917660901e+54,1.1772426264841546e+54,2.20979003992499e+54,2.3044062718587123e+54,4.6900125464393935e+54
106,3.4354970024148585e+52,-1.0437375110550669e+54,1.202840033518678e+54,2.2079473420861728e+54,2.30020779475903e+54,4.7016126293329627e+54
107,3.4220857086661065e+52,-1.0520904047497857e+54,1.234420335456848e+54,2.206546381071255e+54,2.2968709451737786e+54,4.719968114038757e+54
108,3.355347433429953e+52,-1.0611244237094147e+54,1.2711362022720102e+54,2.2052902937858008e+54,2.293876811956593e+54,4.742732358639289e+54
109,3.3289985278181047e+52,-1.0706555526283417e+54,1.3114841379321398e+54,2.2040281612495794e+54,2.2908267024040633e+54,4.768973434235622e+54
110,3.3711575750485295e+52,-1.0812207708685557e+54,1.358681343505306e+54,2.2024317150816025e+54,2.2878375426867804e+54,4.801441406155618e+54
111,3.4196195469050395e+52,-1.0926410128120386e+54,1.416356004536136e+54,2.2006370249729504e+54,2.2845386703227482e+54,4.843086882488847e+54
